Asset_ID,Asset_Name,Asset_Type,Business_Owner,Technical_Owner,Data_Classification,Business_Criticality,Internet_Exposed,RTO_Hours,RPO_Hours,Purpose,Location,Status,Evidence_Basis,Disaster_Recovery_Strategy
AST-001,Customer web application,Application,Head of Product,CTO,Restricted,Critical,Yes,4h,1h,Hosts primary customer transactional interface,Vendor SaaS,Active,Simulated company dossier,Multi-region active-active failover with automated traffic routing
AST-002,Customer and order database,Database,Head of Product,CTO,Restricted,Critical,No,4h,1h,Stores master customer records and history,AWS eu-central-1,Active,Simulated company dossier,Continuous replication with automated point-in-time recovery
AST-003,AWS production account,Cloud environment,CTO,IT Manager,Restricted,Critical,Indirectly,4h,1h,Maintains core production infrastructure ecosystem,AWS eu-central-1,Active,Simulated company dossier,Infrastructure as Code deployment replication across secondary region
AST-004,Ubuntu application server,Server,CTO,Engineering Lead,Confidential,Critical,Indirectly,4h,1h,Executes background application computing tasks,AWS eu-central-1,Active,Simulated company dossier,Automated daily AMI snapshotting and cross-region replication
AST-005,S3 backup storage,Data store,CTO,IT Manager,Restricted,Critical,No,8h,24h,Retains historical backup archives securely,AWS eu-central-1,Active,Simulated company dossier,Cross-region object replication with strict object locking enabled
AST-006,Microsoft Entra ID,Identity service,IT Manager,IT Manager,Restricted,Critical,Yes,2h,N/A,Manages enterprise authentication and access controls,Vendor SaaS,Active,Simulated company dossier,Cloud-native identity redundancy with emergency break-glass accounts
AST-007,Microsoft 365,SaaS,COO,IT Manager,Confidential,High,Yes,8h,4h,Powers corporate communication and collaboration,Vendor SaaS,Active,Simulated company dossier,Third-party cloud-to-cloud automated daily backup archiving
AST-008,Windows 11 laptop fleet,Endpoint group,COO,IT Manager,Confidential,High,Indirectly,8h,24h,Provides physical workforce computing hardware,Remote and Berlin,Active,Simulated company dossier,MDM remote wipe capability combined with cloud-profile restoration
AST-009,GitHub repositories,Source control,CTO,Engineering Lead,Confidential,High,Yes,8h,4h,Manages core software source code repositories,Vendor SaaS,Active,Simulated company dossier,Automated daily offsite mirroring of all primary branches
AST-010,Stripe payment service,SaaS vendor,CFO,Finance Lead,Restricted,Critical,Yes,4h,N/A,Processes credit card transactions securely,Vendor SaaS,Active,Simulated company dossier,Vendor-managed redundancy with offline queuing for minor outages
AST-011,Zendesk support platform,SaaS vendor,Support Lead,IT Manager,Confidential,High,Yes,8h,4h,Manages customer service support ticketing systems,Vendor SaaS,Active,Simulated company dossier,Vendor SLA monitoring backed up by localized data exports
AST-012,Personio HR and payroll,SaaS vendor,Head of People,IT Manager,Restricted,Critical,Yes,24h,24h,Manages employee lifecycle and payroll processing,Vendor SaaS,Active,Simulated company dossier,Vendor SLA enforcement supplemented by monthly offline data snapshots
AST-013,CloudTrail audit logs,Log source,IT Manager,IT Manager,Confidential,High,No,24h,24h,Tracks API and administrative infrastructure activity,AWS eu-central-1,Active,Simulated company dossier,Immutable S3 bucket storage with cross-region log replication
AST-014,Hosted Splunk,SIEM,IT Manager,IT Manager,Confidential,High,Yes,24h,24h,Aggregates and analyzes enterprise security events,Vendor SaaS,Active,Simulated company dossier,Vendor-managed clustering paired with local forwarder data buffering
AST-015,Public marketing website,Website,Marketing Lead,Engineering Lead,Public,Medium,Yes,24h,24h,Provides public-facing corporate brand information,AWS eu-central-1,Active,Simulated company dossier,Static site caching via CDN with a secondary failover bucket
AST-016,DNS and domain registrar,Network service,CTO,IT Manager,Confidential,Critical,Yes,4h,N/A,Resolves external enterprise domain routing request,Vendor SaaS,Active,Simulated company dossier,Anycast DNS routing network distribution across multiple providers
AST-017,Finance shared mailbox,Mailbox,CFO,IT Manager,Confidential,High,Yes,8h,4h,Handles incoming financial query communications,Vendor SaaS,Active,Simulated company dossier,Cloud email archiving combined with alternative communication routing
AST-018,Product analytics platform,SaaS vendor,Head of Product,Engineering Lead,Confidential,Medium,Yes,24h,24h,Tracks product usage and user behavior data,Vendor SaaS,Active,Simulated company dossier,Vendor-managed infrastructure with client-side event buffering
