Function,Outcome_ID,Outcome_Summary,Current_Score,Target_Score,Evidence,Gap,Related_Risks,Owner,Priority_Action,Status
Govern,GV.OC-01,Mission informs cyber risk decisions,2,3,Critical services known,Critical services are not yet formally approved by executive management,"R-003, R-005",CTO,Formally approve critical business services and align them to the risk management framework,Open
Govern,GV.RM-01,Risk objectives are established,1,3,No formal risk method existed before this project,Lack of a structured security risk management program across the enterprise,All,CTO,Adopt and publish the custom portfolio risk methodology,Open
Govern,GV.RR-02,Security roles and responsibilities exist,1,3,Responsibility shared informally among existing staff,Lack of explicit security ownership documented in job descriptions,All,COO,Formally define and document security roles for IT and engineering leads,Open
Govern,GV.PO-01,Security policy is established,0,3,No approved corporate policy set currently exists,Complete absence of a baseline security policy suite,"R-001, R-002, R-007",COO,Draft and distribute core security policies including identity and incident governance,Open
Identify,ID.AM-01,Hardware inventory is maintained,1,3,Endpoint inventory is incomplete,Laptops are tracked manually without centralized MDM verification,R-009,IT Manager,Enroll all corporate laptops into a single MDM system for continuous inventory tracking,Open
Identify,ID.AM-02,"Software, services, and systems are inventoried",1,3,This Week 17 register represents the first baseline,No historical centralized tracking of applications or SaaS licenses,"R-003, R-008",IT Manager,Incorporate SaaS discovery tools to maintain the baseline software inventory,Open
Identify,ID.AM-05,Assets are prioritized,1,3,Business criticality was not previously documented,No formal mechanism to map asset value to business continuity thresholds,All,CTO,Approve the criticality tier assignments across the asset inventory,Open
Identify,ID.RA-01,Vulnerabilities are identified,1,3,No defined scan and remediation cycle,Systems are checked for patches reactively without formal scanning tools,"R-003, R-009",IT Manager,Deploy automated vulnerability scanners on endpoints and cloud compute instances,Open
Protect,PR.AA-01,Identities and credentials are managed,2,3,Central identity provider exists,Quarterly account entitlement and access reviews are missing,"R-001, R-002",IT Manager,Implement a mandatory joiner-mover-leaver access checklist,Open
Protect,PR.AA-03,Users and services are authenticated,2,3,Central identity platform enforces administrator MFA,MFA coverage is incomplete for standard non-administrative business users,R-001,IT Manager,Enforce conditional access policies mandating MFA for all active users,Open
Protect,PR.PS-01,Configuration management is applied,1,3,No approved configuration baseline,Servers and laptops are deployed using ad-hoc configurations,"R-003, R-009",IT Manager,Define and apply CIS Benchmarks for Windows endpoints and Ubuntu servers,Open
Protect,PR.DS-11,Backups are protected and tested,1,3,Automated backup jobs exist,Data restoration testing evidence is entirely absent,R-005,IT Manager,Conduct and document a live restoration test for critical databases,Open
Detect,DE.CM-01,Networks and services are monitored,1,3,Partial external SOC monitoring is active,Incomplete cloud infrastructure log ingestion into security pipelines,R-006,IT Manager,Expand logging pipelines to ensure full situational awareness across endpoints and cloud,Open
Detect,DE.CM-09,Systems and applications are monitored,2,3,Sysmon and Splunk capability exists,Monitoring coverage is incomplete across all deployed systems,"R-006, R-009",IT Manager,Deploy the tracking agent universally to all corporate application servers,Open
Detect,DE.AE-03,Evidence is correlated across sources,1,3,Correlation has been proven in a lab environment,Log correlation engines are not implemented across production environments,R-006,IT Manager,Configure centralized SIEM correlation rules for high-priority cloud event logs,Open
Respond,RS.MA-01,Incident plan is executed when needed,1,3,An unapproved incident response draft plan exists,No formal tabletop exercises have been conducted to test the plan,R-007,COO,Conduct a ransomware tabletop simulation to train the incident response team,Open
Respond,RS.MA-03,Incidents are categorized and prioritized,2,3,SOC partner case management methods exist,No approved internal company standard or SLA for incident prioritization,R-007,COO,Formally approve the internal incident triage and escalation matrix,Open
Recover,RC.RP-03,Backup integrity is verified before restoration,0,3,No recent data restoration test has been conducted,No automated or manual integrity validation of backup archives,R-005,IT Manager,Establish a recurring quarterly schedule for technical backup restoration verification,Open
