Risk_ID,Asset_IDs,Business_Service,Risk_Statement,Threat,Weakness,Existing_Controls,Control_Effectiveness,Inherent_Likelihood,Inherent_Impact,Inherent_Score,Residual_Likelihood,Residual_Impact,Residual_Score,Severity,Risk_Owner,Treatment,Planned_Action,Target_Date,Status,Evidence_Basis
R-001,"AST-006, AST-007, AST-017",Enterprise Productivity & Identity,"Because MFA is not consistently enforced for every user, an external threat actor may carry out credential stuffing or phishing, leading to account takeover, corporate mailbox fraud, or confidential data exposure.",Account Takeover,Inconsistent MFA coverage,Admin MFA only,Partially effective,4,4,16,3,4,12,High,IT Manager,Mitigate,"Enforce MFA for all users, disable legacy authentication, and verify sign-in coverage",2026-09-16,Open,Simulated finding from company dossier
R-002,AST-006 to AST-012,Enterprise Applications & Identity,"Because access rights are not reviewed on a quarterly basis, a former user or over-privileged account may retain active system permissions, leading to unauthorized sensitive-data access or internal data leaks.",Privilege Abuse,Lack of regular entitlement reviews,Manual offboarding,Partially effective,4,4,16,3,4,12,High,IT Manager,Mitigate,Create quarterly access review and joiner-mover-leaver checklist,2026-10-16,Open,Simulated finding from company dossier
R-003,AST-004,Core Compute Operations,"Because system patching is conducted manually on an ad-hoc basis, a threat actor may exploit an unpatched known operating system vulnerability, leading to a full critical server compromise or service disruption.",Vulnerability Exploitation,Manual patching dependencies,Informal admin patching,Partially effective,4,5,20,3,5,15,Critical,Engineering Lead,Mitigate,"Define 14-day critical-patch target, scan the server, patch, and rescan",2026-09-16,Open,Simulated finding from company dossier
R-004,"AST-003, AST-005",Cloud Infrastructure & Storage,"Because cloud-storage access lacks structural review records, a misconfigured access control policy may inadvertently expose objects publicly, leading to data leaks or unencrypted backup exposure.",Cloud Misconfiguration,No formal cloud configuration reviews,S3 private by default,Partially effective,3,5,15,2,5,10,High,CTO,Mitigate,"Review S3 public-access settings, bucket policies, encryption, and logging",2026-09-16,Open,Simulated finding from company dossier
R-005,"AST-002, AST-005",Core Data Resilience,"Because data backup restorations are completely untested, a ransomware attack or physical hardware failure may encounter unrecoverable restoration files, leading to permanent data loss or prolonged core-service outages.",Ransomware / Data Destruction,Untested business continuity processes,Automated backup jobs,Ineffective,3,5,15,3,5,15,Critical,IT Manager,Mitigate,Perform a documented restore test and assign recurring quarterly testing,2026-09-16,Open,Simulated finding from company dossier
R-006,"AST-003, AST-013, AST-014",Security Log Operations,"Because infrastructure log pipelines are only partially monitored, malicious configuration changes or malicious access may go undetected, leading to delayed incident response and prolonged environmental exposure.",Delayed Incident Detection,Incomplete log visibility and review workflows,"CloudTrail enabled, partial Splunk use",Partially effective,4,4,16,3,4,12,High,IT Manager,Mitigate,Define daily high-priority CloudTrail review and route selected events to monitoring,2026-10-16,Open,Simulated finding from company dossier
R-007,All critical services,Business Continuity,"Because the corporate incident response plan is unapproved and untested, teams may coordinate responses slowly or inconsistently during a live incident, leading to extended service downtime or compliance breaches.",Disorganized Incident Response,Lack of validated emergency procedures,Draft plan,Ineffective,3,5,15,3,4,12,High,COO,Mitigate,Approve the incident plan and run one ransomware tabletop exercise,2026-11-15,Open,Simulated finding from company dossier
R-008,"AST-010, AST-011, AST-012, AST-018",Third-Party Risk Management,"Because new software vendors are onboarded without standard security due diligence, a compromised third-party provider may exploit data access channels, leading to vendor-driven supply chain breaches or compliance violations.",Supply Chain Compromise,Lack of third-party security assessments,Commercial contracts,Ineffective,3,4,12,3,4,12,High,COO,Mitigate,Assess critical vendors and record residual-risk decisions,2026-11-15,Open,Simulated finding from company dossier
R-009,AST-008,Endpoint Security,"Because local laptop endpoints lack consistent configuration hardening and standardized telemetry collection, persistent malware may establish a quiet foothold, leading to pivot attacks into cloud assets or localized ransomware execution.",Malware Execution / Lateral Movement,Inconsistent endpoint telemetry and baseline auditing,Defender and partial Sysmon,Partially effective,4,4,16,3,4,12,High,IT Manager,Mitigate,Apply an endpoint baseline and validate logging coverage,2026-10-16,Open,Simulated finding from company dossier
R-010,"AST-003, AST-004, AST-009",Source Control Security,"Because programmatic cleartext credentials are occasionally committed to source repositories, an untrusted user with code access could leak or abuse keys, leading to full production environment takeover or database access.",Credential Leakage,Lack of automated code pipeline token checks,Private repositories and peer review,Partially effective,3,5,15,2,5,10,High,Engineering Lead,Mitigate,"Enable secret scanning, rotate exposed test secrets if found, and document secure secret storage",2026-10-16,Open,Simulated finding from company dossier
