Requirement_ID,Requirement,Source_Threat_ID,Category,ASVS_5_Chapter,NIST_SSDF_Practice,Priority,SDLC_Phase,Owner,Acceptance_Criteria,Verification_Method,Test_ID,Status,Evidence_Refs,Evidence_Label
SR-001,"All database access operations using user-controlled parameters must utilize statically parameterized queries. Dynamic structural identifiers must resolve exclusively via strict server-side allow-list mapping matrices.","TM-004","Input Validation","V1 Encoding and Sanitization, V2 Validation and Business Logic","PW.5, PW.7, PW.8","Critical","Design","Development-Team","All SQL statements utilize prepared variables; dynamic identifiers reject non-alphanumeric input.","Static Application Security Testing and Source Review",ST-001,"Recommended","evidence/http/WEB-001-sqli-request-response.md","Recommended"
SR-002,"Untrusted data reflected by the web frontend must be encoded for its exact contextual output block (HTML body, attribute, script context) using framework auto-escaping parameters by default.","TM-007","Output Encoding","V1 Encoding and Sanitization, V3 Web Frontend Security","PW.5, PW.7, PW.8","High","Design","UI-Engineering-Team","Special characters translate to HTML entities; content execution does not trigger script blocks.","Manual Input Evaluation via Burp Repeater",ST-002,"Recommended","evidence/http/WEB-002-xss-request-response.md","Recommended"
SR-003,"Every protected route and administrative action must enforce centralized server-side authorization checks, apply a default-deny posture, and explicitly validate role, resource ownership, and target boundaries before processing.","TM-006","Access Control","V8 Authorization","PW.1, PW.5, PW.8","Critical","Architecture","Platform-Core-Team","Anonymous and standard user attempts to target administrative routes return 403 Forbidden or 401 Unauthorized codes.","Automated Authorization Scheme Test Suite",ST-003,"Recommended","evidence/http/WEB-003-access-control-request-response.md","Recommended"
SR-004,"Protected customer and internal workforce data dashboards must be returned only after all required authentication factor workflow states complete successfully for the specific server-side session and identifier.","TM-008","Authentication","V6 Authentication, V7 Session Management","PW.1, PW.5, PW.8","Critical","Architecture","IAM-Auth-Team","Attempts to access /my-account from a password-only session trigger an immediate redirect back to the 2FA prompt.","Manual Authentication Workflow Traversal Check",ST-004,"Recommended","evidence/http/WEB-004-authentication-request-response.md","Recommended"
SR-005,"The server compute infrastructure must derive SKU values, unit prices, discount criteria, tax calculations, shipping totals, currency types, and final checkout balances directly from trusted server-side relational database records.","TM-002","Business Logic","V2 Validation and Business Logic","PW.1, PW.8","High","Development","Development-Team","Modifying prices within inbound HTTP client requests fails to alter final charge limits.","Automated Parameter Alteration and Validation Fuzzing",ST-005,"Recommended","registers/threat-register.csv#TM-002","Recommended"
SR-006,"Inbound Stripe webhook notifications must validate cryptographic signatures, endpoint secret signatures, timestamp tolerance bands, event identifier uniqueness, order relationships, and transaction idempotency before modifying state.","TM-009","External Integration","V2 Validation and Business Logic, V4 Web Service Security","PW.1, PW.5, PW.8","Critical","Architecture","IAM-Auth-Team","Replaying historic payloads or modifying signature hashes causes immediate error rejection and zero state change.","Integration Verification Testing and Payload Replay",ST-006,"Recommended","registers/threat-register.csv#TM-009","Recommended"
SR-007,"The session lifecycle engine must rotate session identifiers on state shifts, enforce Secure, HttpOnly, and SameSite=Strict attributes, apply inactivity and absolute timeouts, and invalidate tokens server-side upon logout requests.","TM-001","Session Management","V7 Session Management","PW.1, PW.5, PW.8","High","Development","Development-Team","Session tokens change upon post-login transitions; old cookie strings are rejected by backend processing nodes.","Session Trace Analysis and Token Variable Audits",ST-007,"Recommended","registers/threat-register.csv#TM-001","Recommended"
SR-008,"Support and internal finance user access tracking must enforce least-privilege role boundaries, restrict records visibility via granular field data masking matrices, and require mandatory quarterly access review lifecycles.","TM-012","Identity Governance","V8 Authorization","PO.1, PW.1, PW.8","High","Governance","IAM-Auth-Team","Support credentials fail to query raw unmasked financial records or load infrastructure dashboard metrics.","Access Control Matrix Verification and Role Auditing",ST-008,"Recommended","registers/threat-register.csv#TM-012","Recommended"
SR-009,"Cryptographic secrets, API keys, private certificates, and environment tokens must not be stored within code trees. CI/CD pipelines must run push-blocking secret scanning and store properties inside managed cloud secrets repositories.","TM-010","Configuration Hardening","V15 Secure Coding and Architecture","PO.3, PS.1, PW.6, PW.7","High","Implementation","Engineering-Lead","Commits containing plaintext secret markers are blocked from repository merge workflows.","Automated Pipeline Secret Scan Auditing",ST-009,"Recommended","registers/threat-register.csv#TM-010","Recommended"
SR-010,"Authentication, authorization, payment, management, and security control lifecycle failures must generate structured events logging actor, action, target, result, timestamp, source IP, and correlation ID without secrets.","TM-003, TM-011","Security Telemetry","V16 Security Logging and Error Handling","PW.1, PW.8, RV.1","High","Implementation","Security-Lead","Vulnerability probes trigger immediate alert metrics inside Hosted Splunk without logging consumer credentials.","Forensic Ingestion Log Parsing and Alert Trigger Audits",ST-010,"Recommended","registers/threat-register.csv#TM-003","Recommended"
SR-011,"The application service account identity must possess only minimal necessary table-level read and write operation privileges, utilizing completely separate isolated service accounts for schema migration tasks.","TM-004","Database Security","V15 Secure Coding and Architecture","PS.1, PW.1","High","Operations","Database-Admin","Application runtime database connections are blocked from running dangerous commands like DROP TABLE or ALTER.","Database Privilege Matrix Verification and Grants Audit",ST-011,"Recommended","registers/threat-register.csv#TM-004","Recommended"
SR-012,"Public-facing and resource-expensive application endpoints must enforce thoroughly tested input size, timeout latency, concurrent processing request, and client rate limits without exposing infrastructure details.","TM-005","Availability Defense","V2 Validation and Business Logic, V13 Configuration","PW.1, PW.8, PW.9","High","Operations","Infrastructure-Lead","Exceeding connection limits triggers a clean 429 Too Many Requests response with no backend data leakage.","Automated Stress and Volumetric Load Validation Check",ST-012,"Recommended","registers/threat-register.csv#TM-005","Recommended"

