Threat_ID,Title,STRIDE_Category,Element_ID,Flow_ID,Asset_ID,Data_ID,Threat_Scenario,Preconditions,Existing_Control,Inherent_Likelihood,Inherent_Impact,Inherent_Risk,Inherent_Rating,Response,Proposed_Control,Security_Requirement_ID,Verification_Test_ID,Owner,Target_Date,Residual_Likelihood,Residual_Impact,Residual_Risk,Residual_Rating,Decision_Status,Evidence_Refs,Evidence_Label
TM-001,"Session Hijacking / Spoofing",Spoofing,P2,F01,AST-001,DAT-001,"Stolen or fixed customer session token is used to impersonate an active user account over the network.","Session id accessible via XSS or weak token generation entropy.","Standard HTTPS transport security.",4,4,16,High,Mitigate,"Enforce cryptographically random session tokens with secure flags (HttpOnly, Secure, SameSite).",SR-007,ST-007,Engineering-Lead,2026-09-24,2,4,8,Medium,Proposed,"docs/methodology-stride.md#2.1",Simulated
TM-002,"Client-Side Price Manipulation",Tampering,P2,"F02, F03","AST-001, AST-002",DAT-002,"Client modifies product price or order total parameters within the HTTP browser request before checkout.","Server implicitly trusts client-supplied price parameters during cart submission.","None.",4,4,16,High,Mitigate,"Enforce server-side price validation by looking up costs directly in database inventory tables.",SR-005,ST-005,Engineering-Lead,2026-09-24,2,4,8,Medium,Proposed,"docs/methodology-stride.md#2.2",Simulated
TM-003,"Unlogged Privileged Activity",Repudiation,P2,F08,"AST-001, AST-013",DAT-006,"Privileged administrative refund or profile change lacks reliable actor attribution and non-repudiation evidence.","Audit logging framework fails to track user context during dynamic internal API routing calls.","Local server application file logging.",3,4,12,High,Mitigate,"Implement mandatory structured logging that binds the user ID to all state-changing activities.",SR-010,ST-010,Platform-Core-Team,2026-09-21,2,3,6,Medium,Proposed,"docs/methodology-stride.md#2.3",Simulated
TM-004,"SQL Injection in Catalog Engine",Information_Disclosure,P2,F03,"AST-001, AST-002","DAT-001, DAT-002","Unsafe query string construction exposes full customer or order database registries over the network.","User input is directly concatenated into database WHERE filtration clause components.","Edge-level WAF rules (Partial).",4,5,20,Critical,Mitigate,"Mandate parameterized queries and prepared statements across all data extraction logic wrappers.",SR-001,ST-001,Development-Team,2026-09-24,1,5,5,Low,Proposed,"evidence/http/WEB-001-sqli-request-response.md","Simulated, informed by WEB-001 lab lesson"
TM-005,"Application Denial of Service",Denial_of_Service,P1,None,"AST-001, AST-002",None,"Automated rapid-fire network requests exhaust application or relational database connection capacity.","No layer-7 limiters configured on edge proxy gateways or application worker frameworks.","AWS infrastructure protection defaults.",4,4,16,High,Mitigate,"Configure strict rate-limiting thresholds and connection throttling on public edge nodes.",SR-012,ST-012,Infrastructure-Lead,2026-09-24,2,4,8,Medium,Proposed,"docs/methodology-stride.md#2.5",Simulated
TM-006,"Administrative Function Bypassing",Elevation_of_Privilege,P2,F02,AST-001,"DAT-001, DAT-002","Customer directly requests an administrative path to perform execution actions without validation.","Administrative endpoints rely strictly on hidden URLs instead of server-side role validation blocks.","None.",4,5,20,Critical,Mitigate,"Enforce centralized server-side authorization filters requiring verified admin security tokens.",SR-003,ST-003,Platform-Core-Team,2026-09-21,1,5,5,Low,Proposed,"evidence/http/WEB-003-access-control-request-response.md","Simulated, informed by WEB-003 lab lesson"
TM-007,"Reflected Script Injection",Tampering,P2,F02,AST-001,DAT-001,"Unencoded search input executes malicious JavaScript within another user's browser context.","Store search fields reflect parameter content back into the page layout without encoding tokens.","None.",3,4,12,High,Mitigate,"Apply contextual HTML entity output encoding rules to all dynamic parameters before rendering.",SR-002,ST-002,UI-Engineering-Team,2026-09-24,1,4,4,Low,Proposed,"evidence/http/WEB-002-xss-request-response.md","Simulated, informed by WEB-002 lab lesson"
TM-008,"Multi-Factor Step Circumvention",Spoofing,P2,F01,AST-001,DAT-001,"Password-authenticated session directly accesses protected account dashboards before 2FA verification finishes.","The authentication engine tracks username strings but fails to validate MFA state across deep routes.","Primary password validation check.",3,5,15,High,Mitigate,"Implement explicit server-side state-locked workflow checks before serving private data dashboards.",SR-004,ST-004,IAM-Auth-Team,2026-09-24,1,5,5,Low,Proposed,"evidence/http/WEB-004-authentication-request-response.md","Simulated, informed by WEB-004 lab lesson"
TM-009,"Webhook Forgery / Replay",Spoofing,E5,F07,"AST-001, AST-010",DAT-002,"Forged or replayed Stripe payment status notifications alter order state strings without true collection.","Application processes inbound webhooks without verifying token provenance or unique request IDs.","None.",3,5,15,High,Mitigate,"Validate Stripe signature headers, verify timestamps, and enforce server-side event idempotency.",SR-006,ST-006,IAM-Auth-Team,2026-09-24,1,5,5,Low,Proposed,"docs/methodology-stride.md#2.1",Simulated
TM-010,"Secret Exposure in Repository",Information_Disclosure,D3,F10,"AST-003, AST-009",DAT-004,"Plaintext secret committed to GitHub repo permits unauthorized cloud environment or database access.","Developers hardcode credentials locally within source code configuration files or layout playbooks.","Repository code-review checkpoints.",3,5,15,High,Mitigate,"Deploy automated push-blocking secret scanning tools and migrate to secure cloud environment variables.",SR-009,ST-009,Engineering-Lead,2026-09-24,2,5,10,Medium,Proposed,"docs/methodology-stride.md#2.4",Simulated
TM-011,"Log Injection and Blinding",Tampering,"F08, D2, F09",None,AST-013,DAT-006,"Security events are dropped, altered, or delayed mid-transit, preventing accurate log correlation.","Forwarders utilize unauthenticated connections or allow log file manipulation on the local volume layer.","Local system text file logging.",3,4,12,High,Mitigate,"Enforce authenticated log shipping channels and lock down CloudTrail using write-once policies.",SR-010,ST-010,Security-Lead,2026-09-24,2,4,8,Medium,Proposed,"docs/methodology-stride.md#2.2",Simulated
TM-012,"Excessive Privilege Access",Elevation_of_Privilege,P2,F05,AST-001,DAT-001,"Support agent accesses more customer profiles or data rows than their operational role requires.","Application relies on broad data access scripts instead of mapping tight, field-level data masks.","Entra ID role configuration parameters.",3,4,12,High,Mitigate,"Enforce granular, server-side data access rules and mask sensitive customer data fields.",SR-008,ST-008,IAM-Auth-Team,2026-09-24,2,4,8,Medium,Proposed,"docs/methodology-stride.md#2.6",Simulated

