Flow_ID,Flow_Name,Source_Element,Destination_Element,Protocol,Data,Classification,Trust_Boundary_Crossing,Authentication_or_Integrity_Control,Authorization_Control,Logging,Failure_Impact,Assumption,Evidence_Label
F01,"Storefront and account requests",E1,P1,HTTPS,Catalog queries and session actions,Restricted,None,TLS encryption with browser,None,Edge connection metadata recorded,Loss of public availability or visibility,Public routes do not require pre-authentication,Simulated
F02,"Filtered application requests",P1,P2,HTTPS,Cleaned requests and proxy headers,Restricted,None,Internal TLS validation,WAF rules filtering,Proxy routing events captured,Malicious payloads reach application logic layers,Edge nodes forward accurate original client IP strings,Simulated
F03,"Database operations",P2,D1,SQL,Customer and order records,Restricted,None,Encrypted database connection strings,Application service account privileges,Database transactional queries tracked,Data corruption or unauthorized record reading,Query isolation layers prevent database cross-talk,Simulated
F04,"Workforce sign-in",E2,E4,HTTPS,Staff credentials and multi-factor codes,Restricted,None,Entra ID authentication rules,Identity sync configuration,Identity provider authentication tracking,Account takeover or privileged visibility theft,Staff single sign-on relies on strict hardware MFA,Simulated
F05,"Identity token and claims",E4,P2,HTTPS,SAML/OIDC tokens and group mappings,Restricted,TB2 to TB1,Cryptographic token signature verification,Application middleware role evaluation,Privileged login events captured,Unauthorized access to administrative paths,Token expiration limits are strictly checked on intake,Simulated
F06,"Payment creation",P2,E5,HTTPS,Transaction amounts and product metadata,Restricted,TB1 to TB2,Stripe API secret key authentication,Application identity validation,Outbound checkout events captured,Payment failure or unbilled inventory dispatch,API keys are stored as encrypted environment configurations,Simulated
F07,"Payment status webhook",E5,P2,HTTPS,Payment reference and event,Restricted,TB2 to TB1,Stripe signature timestamp and replay checks,Event linked to valid pending order,Success and rejection events logged,Forged or replayed payment state,Webhook control design is not validated,Simulated and Recommended
F08,"Security and admin events",P2,D2,HTTPS API,Forensic trails and system audit metrics,Confidential,None,AWS IAM service account role,Write policies on log destination,Native CloudTrail ingestion logging,Loss of non-repudiation and forensic footprint tracing,Logging engine stays active independent of compute states,Simulated
F09,"Selected audit events",D2,E6,HTTPS,Aggregated security and tracking trails,Confidential,TB1 to TB2,Splunk HEC token with TLS,Forwarder access verification,Data ingestion metrics recorded,Blind spots in security operations visibility,SIEM forwarder buffers metrics locally if network drops,Simulated
F10,"Reviewed source change",E3,D3,SSH,Source code changes and release configuration,Confidential,None,SSH Key and Multi-factor authorization,GitHub branch permissions rules,Repository commit logs updated,Malicious code injection or supply chain threat,Branch rules mandate code peer-review approvals,Simulated
F11,"Approved build and deploy",D3,P2,HTTPS,Compiled artifacts and deployment scripts,Confidential,TB2 to TB1,Cryptographic runner OIDC attestation,Deployment identity verification,Pipeline execution trails logged,Deployment of unvalidated code changes,Pipeline runner permissions are strictly bounded,Simulated

