Check_ID,Control_Area,Check_Statement,Expected_State,Observed_State,Control_Status,Evidence_Ref,Risk_If_Failed,Finding_ID,Owner,Review_Date,Evidence_Label,Notes
ACC-001,Account-Harden,"Confirm Multi-Factor Authentication is active for the Root user identity",Enabled,Enabled,Passed,private-evidence/iam/account-summary.json,Root account takeover leading to complete infrastructure compromise and environment destruction,None,Account-Owner,2026-08-29,Tested,Verified via AccountMFAEnabled metric key
ACC-002,Account-Harden,"Confirm zero programmatic long-lived access keys exist for the Root user",None,None,Passed,private-evidence/iam/credential-report.csv,Long-lived keys leaked to public repos allowing permanent root-level API access bypasses,None,Account-Owner,2026-08-29,Tested,No root access keys generated or active
ACC-003,Account-Harden,"Confirm Root user identity is not utilized for routine administrative tasks",No-Routine-Use,No-Routine-Use,Passed,private-evidence/cloudtrail/recent-management-events.json,Accidental destructive configuration or credential exposure during everyday engineering work,None,Account-Owner,2026-08-29,Tested,All management events mapped to AWS-accessor identity
ACC-004,Account-Harden,"Verify root recovery communication phone paths and emails are reviewed and restricted",Controlled,Controlled,Passed,Console-Account-Metadata-Settings,Unauthorized password resets via compromised external communication channels,None,Account-Owner,2026-08-29,Observed,Recovery endpoints secured behind corporate email MFA
ACC-005,Account-Harden,"Confirm alternate security contact profile is populated in account settings",Configured,Configured,Passed,Console-Billing-Alternate-Contacts,Critical security abuse and infrastructure compromise notifications are missed by billing teams,None,IT-Admin,2026-08-29,Observed,Dedicated security distribution alias mapped
ACC-006,Cost-Control,"Verify custom monthly billing threshold budget and alert alarms are active",Configured,Configured,Passed,private-evidence/account/budgets.json,Uncontrolled budget spikes from resource leakage or malicious crypto-jacking exploitation,None,Finance-Lead,2026-08-29,Observed,Active budget metric thresholds set at 20 USD limit
ACC-007,Cost-Control,"Confirm AWS Free Tier operational usage notification alerts are explicitly active",Enabled,Enabled,Passed,Console-Billing-Preferences,Unexpected cost accumulation from running non-free computing tier trial items,None,Finance-Lead,2026-08-29,Observed,Preferences checked in Billing control console
ACC-008,Access-Method,"Ensure human operators access infrastructure via temporary federated credentials",Temporary-Sessions,Long-Lived-Keys,Failed,private-evidence/iam/users.json,Persistent credential leakage from long-lived access keys stored on local development machines,AWS-SEC-001,IT-Admin,2026-08-29,Tested,AWS-accessor profile utilizes permanent key pairs
ACC-009,Governance,"Document and isolate the primary operating region boundary for application deployment",eu-central-1,eu-central-1,Passed,private-evidence/account/caller-identity.json,Resource sprawl or stealth infrastructure construction in un-monitored foreign data centers,None,Infrastructure-Lead,2026-08-29,Tested,All telemetry data bound explicitly to eu-central-1
ACC-010,Privacy,"Enforce the data minimization privacy boundary for raw cloud configuration files",Raw-Excluded-From-Git,Raw-Excluded-From-Git,Passed,.gitignore,Accidental disclosure of production account IDs or private ARNs inside public repositories,None,Security-Analyst,2026-08-29,Tested,Private-evidence directory successfully blocked from staging

