Element_ID,Element_Name,Element_Type,Related_Asset_ID,Owner,Trust_Boundary,Data_Handled,Exposure,Authentication,Authorization,Primary_Security_Objective,Assumption,Evidence_Label
E1,"Customer browser",External_Entity,AST-001,Customer,None,DAT-001 and DAT-002,Public Internet,None,None,Confidentiality and Integrity,User client machine is outside Velora control,Simulated
E2,"Support or finance user",External_Entity,AST-006,Operations Lead,None,DAT-001 and DAT-002,Corporate Fleet,Workforce credentials via Entra ID,Role assigned in identity provider,Confidentiality and Integrity,Staff hardware follows endpoint compliance policies,Simulated
E3,Developer,External_Entity,AST-009,Engineering Lead,None,DAT-004,Corporate Fleet,GitHub SSH key or personal access token,Repository write permissions,Confidentiality and Integrity,Developer workstation is secured against credential theft,Simulated
E4,"Microsoft Entra ID",External_Entity,AST-006,IT Admin,TB2,DAT-001,SaaS Perimeter,Mutual TLS with cloud endpoints,Signed claims issuer,Authentication integrity,SaaS provider maintains high availability and token signing security,Simulated
E5,"Stripe payment service",External_Entity,AST-010,Finance Lead,TB2,DAT-002,SaaS Perimeter,API secret key,Signed webhook events,Integrity and Availability,Stripe architecture limits processing liabilities internally,Simulated
E6,"Hosted Splunk",External_Entity,AST-014,Security Lead,TB2,DAT-006,SaaS Perimeter,TLS client certificate or token,Log collector role,Confidentiality and Availability,Splunk cluster guarantees retention times under SLA,Simulated
P1,"Public edge and WAF",Process,AST-003,Infrastructure Lead,TB1,DAT-001 and DAT-002,Internet at Edge,TLS termination,IP and rate limiting,Availability and Integrity,Edge rules intercept broad infrastructure layer noise,Simulated
P2,"Web application and API",Process,AST-001 and AST-004,Engineering Lead,TB1,DAT-001 and DAT-002,Internet through P1,Customer session or workforce identity,Role and ownership checks,Confidentiality integrity and availability,Application and API represented as one logical process for this model,Simulated
D1,"Customer and order database",Data_Store,AST-002,Database Admin,TB1,DAT-001 and DAT-002,Internal Subnet,Database user credentials,Table grants and execution privileges,Confidentiality and Integrity,Database resides in isolated network zone away from direct public entry,Simulated
D2,"CloudTrail audit logs",Data_Store,AST-013,Infrastructure Lead,TB1,DAT-006,Internal Subnet,IAM service role,Write-once bucket policies,Integrity and Availability,Logs are safe from structural modification within the cloud domain,Simulated
D3,"GitHub repositories",Data_Store,AST-009,Engineering Lead,TB2,DAT-004,SaaS Perimeter,Multi-factor account token,Organization branch rules,Confidentiality and Integrity,GitHub access permissions are governed under corporate identity profiles,Simulated

