POAM_ID,Finding_ID,Related_Risks,Corrective_Action,Owner,Priority,Start_Date,Target_Date,Milestone,Completion_Evidence,Validation_Step,Dependency,Status,Residual_Risk_After_Action,Evidence_Label
"P-001","F-005","R-003","Approve critical-patch targets and produce current Ubuntu status","Engineering Lead","Critical","2026-08-17","2026-08-31","Critical items remediated or excepted","Patch report and approved exceptions","Re-perform automated vulnerability scan and confirm zero overdue items remain unmitigated.","None","Open","To be reassessed after validation","Simulated"
"P-002","F-009","R-005","Execute and document one controlled RDS or sample-data restore","IT Manager","Critical","2026-08-17","2026-08-31","Data integrity and elapsed time validated","Restore record, result, and issue log","Inspect technical database recovery outputs and verify that restoration time is logged beneath the 4-hour target.","None","Open","To be reassessed after validation","Simulated"
"P-003","F-002","R-001 to R-010","Approve risk owners and monthly risk review","CTO","Medium","2026-08-17","2026-09-15","First review held","Approval record and meeting action log","Verify that monthly risk ledger updates are formally scheduled on the executive team calendar.","None","Open","To be reassessed after validation","Simulated"
"P-004","F-003","R-001","Enforce MFA and block legacy authentication","IT Manager","High","2026-08-17","2026-09-15","All active identities evaluated","Sanitized 100% coverage evidence","Review identity provider configuration dumps to confirm that 100% of active accounts require MFA.","None","Open","To be reassessed after validation","Simulated"
"P-005","F-001","R-001, R-002, R-007, R-008","Approve minimum security policy set","COO","High","2026-08-17","2026-10-15","Policy owners and review dates approved","Signed policy index","Confirm that draft identity, patching, and incident policies are officially authorized and published internally.","P-003","Open","To be reassessed after validation","Simulated"
"P-006","F-004","R-002","Complete first quarterly access review","IT Manager","High","2026-08-17","2026-10-15","Exceptions assigned and closed or accepted","Review workbook and approvals","Audit the finalized review workbook to confirm all dormant or departed employee accounts are marked as disabled.","P-004","Open","To be reassessed after validation","Simulated"
"P-007","F-006","R-003, R-009","Approve and test Windows and Ubuntu baselines","IT Manager","High","2026-08-17","2026-10-15","Selected checks validated","Before-and-after results and deviations","Inspect configuration benchmark dashboards to verify compliance across server fleets.","P-001","Open","To be reassessed after validation","Simulated"
"P-008","F-007","R-006","Define and perform high-risk CloudTrail review","IT Manager","High","2026-08-17","2026-10-15","First daily-review sample completed","Procedure, search result, escalation record","Re-run the specified SIEM alert filter and check for matching daily review sign-off sheets.","None","Open","To be reassessed after validation","Simulated"
"P-009","F-012","R-010","Establish secret storage, scanning, and response","Engineering Lead","High","2026-08-17","2026-10-15","Initial scan completed","Procedure and sanitized scan summary","Verify code pipeline configurations to ensure automated credential scanning hooks reject unencrypted variables.","None","Open","To be reassessed after validation","Simulated"
"P-010","F-008","R-007","Approve IR plan and run ransomware tabletop","COO","High","2026-08-17","2026-11-14","Exercise actions assigned","Approved plan, scenario, action log","Examine the tabletop after-action report to confirm all critical security drill milestones are completed.","P-005","Open","To be reassessed after validation","Simulated"
"P-011","F-010, F-011","R-004, R-008","Validate retention and complete priority vendor reviews","COO","High","2026-08-17","2026-11-14","Critical vendors reviewed and data periods approved","Decisions, terms checklist, retention schedule","Verify that formal DPAs are appended to vendor files and data retention criteria match authorized business objectives.","P-005","Open","To be reassessed after validation","Simulated"
"P-012","F-013","R-001, R-007","Define and evidence annual awareness process","Head of People","Medium","2026-08-17","2026-11-14","First assignment and follow-up completed","Content, completion, overdue, effectiveness summary","Check the corporate learning platform statistics to confirm user tracking data is generated.","None","Open","To be reassessed after validation","Simulated"

