Finding_ID,Control_ID,Title,Criteria,Condition,Cause,Risk,Recommendation,Severity,Related_Risks,Owner,Target_Date,Status,Evidence_Refs,Validation_Step,Evidence_Label
"F-001","CTL-01","Approved security policy set is absent","A formalized and approved information security policy suite must define corporate asset protection rules, explicit personnel responsibilities, and mandatory annual review dates.","No approved information security policy documentation or history of executive management review was provided for evaluation under EV-001.","Security governance has historically been treated as an ad-hoc operational task without structured programmatic requirements or formal executive validation.","The absence of clear security policies leads to inconsistent access controls, uncoordinated baseline configurations, and increased operational vulnerability to identity theft or service outages.","Draft, approve, and distribute core security policies addressing identity governance, asset protection, and incident response requirements.","High","R-001, R-002, R-007, R-008","COO","2026-10-15","Open","EV-001","Approved policies explicitly show assigned owners, required annual review dates, and formal exception logs.","Not provided"
"F-002","CTL-03","Risk baseline lacks approval and recurring review","Cybersecurity risk parameters must be consistently assessed, mathematically validated, officially signed off by management, and monitored on a recurring basis.","A baseline risk assessment exists under EV-003, but official executive management approval records and recurring review schedules are not currently evidenced.","The risk assessment framework was recently introduced as part of the initial compliance program and has not yet been integrated into standard governance workflows.","Unapproved risk assumptions can result in a misallocation of security budgets, leaving critical operational vulnerabilities unmitigated or untracked by the executive suite.","Submit the baseline risk register to leadership for formal sign-off and schedule a recurring monthly review session to track active remediations.","Medium","R-001 to R-010","CTO","2026-09-15","Open","EV-003","Management approval is formally archived and a recurring monthly risk review session is scheduled on the corporate calendar.","Simulated"
"F-003","CTL-04","MFA is not enforced for all workforce identities","Multi-factor authentication must be centrally enforced for 100% of active workforce and administrative identities, and legacy authentication channels must be explicitly blocked.","Configuration summary EV-004 indicates that MFA is active for only 4 administrator accounts out of 60 active workforce identities, leaving a 93.3 percentage-point gap. Legacy authentication blocking is unevidenced.","Conditional access rules have historically been restricted to high-privilege administrators to minimize friction for general business users.","Threat actors can exploit standard user accounts via phishing or credential stuffing, using compromised mailboxes to conduct business email compromise or lateral movement.","Configure and enforce a tenant-wide conditional access policy mandating MFA for all user sign-ins and explicitly disable legacy authentication.","High","R-001","IT Manager","2026-09-15","Open","EV-004","A sanitized configuration export demonstrates 100% active workforce identity coverage and legacy authentication is blocked.","Simulated"
"F-004","CTL-05","Quarterly access review is not established","A formal access entitlement review must be performed quarterly to validate active, privileged, dormant, and departed accounts across all core corporate systems.","No documentation or operational records of regular user access reviews or employee offboarding verification logs were available under EV-005.","User account lifecycle management relies entirely on manual offboarding notifications without a structured verification or reconciliation schedule.","Dormant accounts or over-privileged former employees could retain active permissions, leading to unauthorized sensitive data access or insider threat incidents.","Establish a mandatory quarterly access review procedure and construct an integrated joiner-mover-leaver validation checklist.","High","R-002","IT Manager","2026-10-15","Open","EV-005","The initial completed quarterly access review is archived, confirming verification across active, privileged, dormant, and departed accounts.","Not provided"
"F-005","CTL-06","Critical patching lacks an approved target and evidence","Critical vulnerabilities and software operating system patches must be identified and remediated within strict, documented timeframes (such as 14 days for critical exposure).","Vulnerability management under EV-006 relies on informal administrative notes; there are no approved SLAs, tracking reports, or automated scanning verifications.","Systems maintenance tasks are executed reactively rather than via structured vulnerability scanning cycles or formalized target windows.","Unpatched software vulnerabilities on internet-facing application layers provide an explicit entry point for automated exploits, leading to full server compromise.","Define a strict 14-day critical patch remediation target window, deploy automated vulnerability scanning tools, and generate compliance reports.","Critical","R-003","Engineering Lead","2026-08-31","Open","EV-006","An automated system patch report demonstrates zero overdue Critical vulnerabilities or contains approved exception logs.","Simulated"
"F-006","CTL-07","Secure configuration baselines are not approved","Standardized system hardening baselines must be formally defined, approved, applied to all endpoints and servers, and audited for compliance deviations.","No documented security configuration standards or automated baseline compliance checks were provided for evaluation under EV-007.","Systems are deployed utilizing vendor-default out-of-the-box configurations to speed up initial infrastructure setups.","Default configurations often leave unnecessary services running and weaken local system defenses, facilitating lateral malware movement or unauthorized persistence.","Adopt industry-standard hardening benchmarks (such as CIS Benchmarks) for Windows endpoints and Ubuntu servers, and implement compliance auditing.","High","R-003, R-009","IT Manager","2026-10-15","Open","EV-007","Configuration audit reports show that selected Windows and Ubuntu systems satisfy the target baseline checks or possess approved deviations.","Not provided"
"F-007","CTL-08","High-risk CloudTrail review is not defined","High-risk administrative cloud configuration changes must be automatically logged, routinely reviewed, and escalated when unauthorized anomalies are detected.","CloudTrail logging is active under EV-008, but priority event definitions, review frequencies, escalation procedures, and verification samples are absent.","Log collection pipelines were configured during initial cloud architecture deployment, but review workflows and continuous monitoring teams were not established.","Unauthorized structural changes to infrastructure configurations, network routing tables, or IAM permissions could go undetected for an extended period.","Draft a formal cloud log review procedure, define priority high-risk events, and configure daily monitoring alerts within the SIEM platform.","High","R-006","IT Manager","2026-10-15","Open","EV-008","A documented review procedure and a complete sample of consecutive daily reviews demonstrate successful anomaly tracking and escalation.","Simulated"
"F-008","CTL-09","Incident-response plan is unapproved and untested","An incident response plan defining clear operational roles, severity categories, communication chains, and recurring tabletop simulations must be formally authorized.","The incident plan provided under EV-009 remains an unapproved draft; severity tiers are incomplete and no testing simulations have been run in the past 12 months.","The response plan has been treated as a static planning document rather than a continuously maintained, tested, and validated operational framework.","A disorganized response to a live cyber attack can severely delay containment boundaries, leading to extended service downtime, data loss, or regulatory penalties.","Formally approve the incident response plan, establish an internal triage matrix, and execute a multi-departmental ransomware tabletop simulation.","High","R-007","COO","2026-11-14","Open","EV-009","An officially approved corporate incident plan is archived alongside the action logs from a completed ransomware tabletop simulation.","Simulated"
"F-009","CTL-10","Backup recoverability has not been demonstrated","Critical backup data must be restored at least quarterly, validated for integrity, timed against the approved RTO, and followed by corrective action for failures.","Automated backup-job completion was simulated as available, but no restore execution, integrity result, elapsed recovery time, or exception record was provided.","Restore testing has no named schedule, owner checklist, or evidence-retention requirement.","During ransomware or destructive failure, backup data may be unusable or too slow to restore, interrupting checkout and customer services beyond the four-hour target.","Perform a controlled restore within 14 days, validate selected records, record elapsed time, document failures, and schedule quarterly retesting.","Critical","R-005","IT Manager","2026-08-31","Open","EV-010","Controlled restore completes, data integrity passes, time is recorded","Simulated"

