Evidence_ID,Evidence_Request,Requested_From,Request_Date,Due_Date,Status,Date_Received,Evidence_Type,Controls_Supported,Storage_Location,Limitation,Evidence_Label
EV-001,Approved information-security policies and review history,COO,2026-08-17,2026-08-19,Not provided,,Policy,CTL-01,None,No approved policy set identified,Not provided
EV-002,Current asset inventory with owners and criticality,IT Manager,2026-08-17,2026-08-19,Received,2026-08-19,Register,CTL-02,<a href"https://github.com/Adeconcept/Velora-GmbH/blob/63547f07b92b7b4f86e368e92310ff6efcfbdaa7/Security-program-risk-assessment-project/Registers/Asset-inventory.csv">registers/asset_inventory.csv</a>,None,Observed
EV-003,Current risk register and approved treatments,CTO,2026-08-17,2026-08-19,Received with limitation,2026-08-19,Register,CTL-03,docs/risk-register.csv,Week 17 register exists but formal executive management approval is simulated and not independently evidenced,Simulated
EV-004,MFA coverage summary for active workforce identities,IT Manager,2026-08-17,2026-08-19,"Received, simulated",2026-08-19,Configuration summary,CTL-04,evidence/fictional-evidence/ev-004-mfa-coverage-summary.md,None,Simulated
EV-005,Completed quarterly access review and exception record,IT Manager,2026-08-17,2026-08-19,Not provided,,Review record,CTL-05,None,No formal quarterly access entitlement review process exists,Not provided
EV-006,"Ubuntu patch procedure, latest status, SLA, and exceptions",Engineering Lead,2026-08-17,2026-08-19,Received with limitation,2026-08-19,Procedure and status,CTL-06,None,Informal administrative notes only with no approved SLA or system status report,Simulated
EV-007,Approved Windows and Ubuntu configuration baselines,IT Manager,2026-08-17,2026-08-19,Not provided,,Baseline,CTL-07,None,No approved configuration hardening baseline identified,Not provided
EV-008,CloudTrail high-risk event review procedure and completed review sample,IT Manager,2026-08-17,2026-08-19,Received with limitation,2026-08-19,Log and procedure,CTL-08,None,CloudTrail pipeline is enabled but a formal review procedure is entirely absent,Simulated
EV-009,Incident-response plan and most recent exercise record,COO,2026-08-17,2026-08-19,Received with limitation,2026-08-19,Plan and exercise,CTL-09,None,Draft incident plan received but no live scenario testing or exercise record exists,Simulated
EV-010,Backup-job evidence and most recent restore-test record,IT Manager,2026-08-17,2026-08-19,Received with limitation,2026-08-19,Job and restore record,CTL-10,None,Automated backup schedules are active but historical data restoration testing evidence is absent,Simulated
EV-011,"Data classification, processing inventory, and retention schedule",COO,2026-08-17,2026-08-19,Received with limitation,2026-08-19,Register and schedule,CTL-11,registers/data-inventory.csv,Data classification definitions exist but retention rules have not been validated with legal or business owners,Simulated
EV-012,"Vendor inventory, due-diligence reviews, DPA terms, and monitoring records",COO,2026-08-17,2026-08-19,Received with limitation,2026-08-19,Vendor evidence,"CTL-12, CTL-13",None,Commercial vendor contracts are assumed to exist but structured security due diligence and monitoring are absent,Simulated
EV-013,Secret-scanning result and approved secret-management procedure,Engineering Lead,2026-08-17,2026-08-19,Not provided,,Scan and procedure,CTL-14,None,Private source repositories alone do not prove operational secret scanning controls,Not provided
EV-014,"Security-awareness content, assignment, completion, and follow-up records",Head of People,2026-08-17,2026-08-19,Not provided,,Training records,CTL-15,None,Training metrics evidence is entirely unavailable and control must be marked Not Tested,Not provided

