Action_ID,Finding_ID,Corrective_Action,Owner,Priority,Start_Date,Target_Date,Milestone,Completion_Evidence,Validation_Step,Related_Risk,Status,Residual_Risk_After_Action,Evidence_Label
"IAM-A-001","IAM-F-001","Disable USR-005, revoke sessions, review post-end activity, remove downstream access","IT Manager","Critical","2026-08-24","2026-08-24","Dangling leaver account disabled","Directory event, session result, application checklist, investigation note","Confirm USR-005 Disabled, sessions revoked, and all in-scope applications checked.","R-002","Open","Reassess after validation","Simulated"
"IAM-A-002","IAM-F-003","Disable GST-002 and GST-004 unless approved extensions exist","IT Manager","High","2026-08-24","2026-08-24","Expired guests deactivated","Account status and sponsor decision","Confirm GST-002 and GST-004 Disabled or have sponsor-approved future end dates.","R-002","Open","Reassess after validation","Simulated"
"IAM-A-003","IAM-F-005","Remove USR-007 Zendesk Admin and validate Finance access","CFO","High","2026-08-24","2026-08-25","Mover excess privileges purged","Before-and-after access record","Compare USR-007 to ROLE-009, expected no Zendesk Admin.","R-002","Open","Reassess after validation","Simulated"
"IAM-A-004","IAM-F-004","Block service interactive sign-in, assign SVC-004 owner, reduce permissions, rotate or replace credentials","Engineering Lead","High","2026-08-24","2026-08-31","Service identity threat vectors hardened","Workload configuration, owner, permission, and credential evidence","Confirm SVC-001 and SVC-004 interactive sign-in Blocked and SVC-004 has an owner.","R-002, R-010","Open","Reassess after validation","Simulated"
"IAM-A-005","IAM-F-006","Remove one conflicting approval capability or add independent approval","CFO","High","2026-08-24","2026-08-31","Financial separation of duties enforced","Updated role and transaction workflow evidence","Confirm USR-008 no longer holds both conflicting capabilities without independent control.","R-002","Open","Reassess after validation","Simulated"
"IAM-A-006","IAM-F-007","Review four privileged identities and plan separate, eligible, time-limited administration","CTO","High","2026-08-24","2026-09-07","Standing administrator roles reduced","Signed review and target-role assignments","Confirm all four privileged identities have a current review and approved target role.","R-002","Open","Reassess after validation","Simulated"
"IAM-A-007","IAM-F-008","Obtain owner decisions for four stale identities and disable or extend with expiry","IT Manager","Medium","2026-08-24","2026-09-07","Inactive directory objects reconciled","Keep or disable decisions and next review dates","Verify that all stale profiles are set to disabled or possess a signed exception log.","R-002","Open","Reassess after validation","Simulated"
"IAM-A-008","IAM-F-002","Enforce MFA for all workforce identities through tested rollout","IT Manager","High","2026-08-24","2026-09-15","Workforce authentication perimeter locked down","Sanitized coverage shows 60 of 60 active workforce identities enforced","Recalculate enforced active workforce coverage, expected 60 ÷ 60 = 100%.","R-001","Open","Reassess after validation","Simulated"
"IAM-A-009","IAM-F-009","Approve JML workflow and complete first quarterly access review","Head of People","High","2026-08-24","2026-10-15","Lifecycle governance standards formalized","Approved workflow, completed review, exceptions and closure evidence","Audit sample workflows against Personio log entries to confirm synchronization hooks pass.","R-002","Open","Reassess after validation","Simulated"
"IAM-A-010","IAM-F-010","Define, protect, monitor, and test two emergency access identities","IT Manager","Medium","2026-08-24","2026-10-15","Emergency break-glass paths established","Procedure, alert, test record, and post-test review","Trigger a test authentication entry on a break-glass profile and verify SIEM alerts fire.","R-001, R-002","Open","Reassess after validation","Simulated"

